model=resnet50d device=cuda fold_arg=all
cavity  large  medium  none  small
fold                              
0          12      12    49     16
1          11      13    49     16
2          11      13    50     15
3          11      12    49     16
4          12      11    50     16
[resnet50d] fold3 ep20  loss=0.0025  score=0.7177 acc=0.7614 dice=0.6159 tau*=0.685  (48.3s)
[resnet50d] fold3 ep21  loss=0.0022  score=0.7273 acc=0.7614 dice=0.6477 tau*=0.910  (46.3s)
[resnet50d] fold3 ep22  loss=0.0025  score=0.7273 acc=0.7614 dice=0.6477 tau*=0.915  (47.8s)
[resnet50d] fold3 ep23  loss=0.0091  score=0.7173 acc=0.7500 dice=0.6409 tau*=0.945  (46.7s)
[resnet50d] fold3 ep24  loss=0.0026  score=0.7177 acc=0.7614 dice=0.6159 tau*=0.620  (47.6s)
[resnet50d] fold3 BEST: {'score': 0.75, 'tau': 0.625, 'acc': 0.7840909090909091, 'dice': 0.6704545454545454, 'epoch': 4}  -> /workspace/Code/runs/resnet50d/fold3_best.pt
[resnet50d] fold 4: 23.5M params, train=355 val=89 pos_weight=1.247
[resnet50d] fold4 ep00  loss=0.7435  score=0.7416 acc=0.7753 dice=0.6629 tau*=0.705  (50.2s)
[resnet50d] fold4 ep01  loss=0.3559  score=0.7178 acc=0.7528 dice=0.6360 tau*=0.730  (43.0s)
[resnet50d] fold4 ep02  loss=0.1921  score=0.7600 acc=0.7978 dice=0.6719 tau*=0.580  (44.2s)
[resnet50d] fold4 ep03  loss=0.1272  score=0.7879 acc=0.8202 dice=0.7124 tau*=0.840  (44.0s)
[resnet50d] fold4 ep04  loss=0.0728  score=0.7555 acc=0.7865 dice=0.6831 tau*=0.915  (43.9s)
[resnet50d] fold4 ep05  loss=0.0640  score=0.7937 acc=0.8315 dice=0.7056 tau*=0.765  (45.2s)
[resnet50d] fold4 ep06  loss=0.0743  score=0.7236 acc=0.7640 dice=0.6292 tau*=0.510  (44.8s)
[resnet50d] fold4 ep07  loss=0.0941  score=0.7429 acc=0.7753 dice=0.6674 tau*=0.480  (44.1s)
[resnet50d] fold4 ep08  loss=0.1608  score=0.7371 acc=0.7640 dice=0.6742 tau*=0.920  (44.5s)
[resnet50d] fold4 ep09  loss=0.0909  score=0.7982 acc=0.8427 dice=0.6944 tau*=0.675  (45.7s)
